etiqueta_duplicaDO,duplicados
"dahlstedtia muehlbergianahoehne, f.c.; gehrt, a.s.n.1936",10756/44795
"dahlstedtia muehlbergianahoehne, f.c.; gehrt, a.s.n.1939",10747/44794/10746/44929
"dahlstedtia muehlbergianahunger filho, m.s.n.1928",10759/44869
"dahlstedtia muehlbergianaildefonso, d.9911944",10740/44940
"dahlstedtia muehlbergianasantos, k.155-a1996",10637
"dahlstedtia muehlbergianasantos, k.155-b1996",10638
"dahlstedtia muehlbergianabarreto, k.d.; fernandes, g.d.; vitti, f.x.18331994",10661/44866
"dahlstedtia muehlbergianakrapovickas, a.; al.32976na",10767
"dahlstedtia muehlbergianabernacci, l.c.; sciamarelli, a.; grecco, m.d.n.; andrade, p.r.p.; belinelo, r.; falivene, s.m.p.14621995",10647/44895
"dahlstedtia muehlbergianalombardi, j.a.67242007",10609/44877
"dahlstedtia muehlbergianalorenzi, h.260921991",10689/44813
"dahlstedtia muehlbergianamario sousa, s.; tozzi, a.m.g.a.; tozzi, c.l.133861995",10659/44871
"dahlstedtia muehlbergianamorellato-fonzar, l.p.c.s.n.1985",10710/44804
"dahlstedtia muehlbergianamosén, c.w.h.s.n.1874",10765/44868
dahlstedtia muehlbergiananas.n.2008,10606/44903
"dahlstedtia muehlbergianavecchi, o.19171918",10760/44879
"dahlstedtia muehlbergianavecchi, o.f.r.a.2001915",10763
"dahlstedtia muehlbergianagibbs, p.; leitão filho, h.f.41751976",10725
"dahlstedtia muehlbergianareis, t.r.; silva, e.d.; galvão, j.c.; escobar, n.a.g.; chinaglia, m.1282012",10602/44817
"dahlstedtia muehlbergianareis, t.r.; silva, j.s.; costa, m.f.b.; silva, e.d.; tozzi, a.m.g.a.442011",10604/44816
"dahlstedtia muehlbergianarodrigues, r.r.; gandolfi, s.s.n.1990",10695/44803/10694/44854
"dahlstedtia muehlbergianasantos, k.26212000",10626/44851
"dahlstedtia muehlbergianasimão-bianchini, r.; wanderley, m.g.l.; kiyama, c.y.; magenta, m.a.g.; proença, s.l.6651995",10651/44930
"dahlstedtia muehlbergianasimão-bianchini, r.; proença, s.l.; wanderley, m.d.g.l.; kiyama, c.y.; magenta, m.a.g.6651995",44827
"dahlstedtia muehlbergianasouza, v.c.351132012",10603
"dalbergia nigrarodrigues, a.s.n.1944",8366/42857
"dalbergia nigraantar, g.m.8962015",8309/42832/8308/42802/8307/42819/8305/42830
"dalbergia nigracosta, b.s.n.1951",8355
"dalbergia nigrabraga, b.s.n.1959",8352/8353/42860/42862
"dalbergia nigrapickel, b.s.n.1945",8360/42851/8363/42865
"dalbergia nigrapickel, b.s.n.1946",8359/42856
"dalbergia nigrapickel, b.s.n.1948",8357/42863
"dalbergia nigrapickel, b.s.n.1951",8354/42861
"dalbergia nigrafreitas, h.s.1622007",8313/42831
"dalbergia nigraantar, g.m.; giroldo, p.z.; barão, v.8962015",8304
"dalbergia nigragarcia, l.c.3462009",8312/42814
"dalbergia nigraantar, g.m.8882015",8306/42829
"dalbergia nigracoelho, j.p.s.n.1946",8358/42855
"dalbergia nigrakoscinski, m.2731934",8368/42801
"dalbergia nigragonzaga, m.s.n.1945",8361/8362/42853/42858
"dalbergia nigrakoscinski, m.2331938",8367/42852
"dalbergia nigrakoscinski, m.2731930",8369/42859
"dalbergia nigrapickel, b.9641948",8356/42864
dalbergia nigrasem coletors.n.na,8370/42846
"dalbergia nigratozzi, a.m.g.a.272351992",8329/42817
"desmodium subsecundumviégas, a.p.s.n.1939",10550/44713/10551/44763
"desmodium subsecundumantônio, a.s.s.n.1975",10477/44710
"desmodium subsecundumalmeida, j.e.; salgado, p.r.; bufarah, g.b.g.iz3311978",10474/44638
"desmodium subsecundumbaitello, j.b.11362002",10411/44687/10410/44729
"desmodium subsecundumberaldo, k.742014",10402/44680
"desmodium subsecundumbernacci, l.c.; ishimura, i.13711995",10424/10425/44651/44756
"desmodium subsecundumbernacci, l.c.; schiamarelli, a.; grecco, m.d.n.; andrade, p.r.p.; belinello, r.; falivene, s.m.p.14351995",10429/44757
"desmodium subsecundumbernacci, l.c.; sciamarelli, a.; grecco, m.d.n.; andrade, p.; belinello, r.; falivene, s.m.p.14351995",10427/44650
"desmodium subsecundumbrade, a.c.56531912",10567/44747
"desmodium subsecundumaranha, c.60351972",10478/10479/44622/44701
"desmodium subsecundumsouza, c.m.s.n.1984",10461/44727
"desmodium subsecundumcampos, j.s.n.1938",10553/44750
"desmodium subsecundumcampos, s.m.1851980",10470/44689
"desmodium subsecundumcampos, s.m.1851960",10506/10502/44723/44736
"desmodium subsecundumcoleman, j.r.; coleman, m.s.n.na",10578/44660
"desmodium subsecundumcunha, m.a.spsf43041952",10510/44691
"desmodium subsecundumcustodio, l.9881999",10415/44697
"desmodium subsecundumholway, e.w.d.; holway, m.m.16661922",10560/44668
"desmodium subsecundumtoledo junior, f.t.s.n.1913",10566
"desmodium subsecundumhoehne, f.c.s.n.1918",10561/44591/10562/10563/44749
"desmodium subsecundumfaria, r.261967",10492/44754/10491/44696
"desmodium subsecundumárbocz, g.f.s.n.1994",10439/44711
"desmodium subsecundumantar, g.m.; maeda, t.m.14182017",10395
"desmodium subsecundumgrombone-guaratini, m.t.214501988",10458/44612
"desmodium subsecundumgrombone-guaratini, m.t.s.n.1988",10459/44600
"desmodium subsecundumgrombone-guaratini, m.t.; leitão filho, h.f.; tamashiro, j.y.; bernacci, l.c.; meira neto, j.a.a.214501988",10457/44631
"desmodium subsecundumantar, g.m.14182017",10396/44673
"desmodium subsecundumlorenzi, h.22932000",10413/44614
"desmodium subsecundumhoehne, f.c.s.n.1917",10564/10565/44748/44751
"desmodium subsecundumhoehne, w.s.n.1932",10557
"desmodium subsecundumhoehne, w.s.n.1933",10555/10556/44649/44675
"desmodium subsecundumhoehne, w.s.n.1942",10543/10545/44603/10544/44595
"desmodium subsecundumhoehne, w.s.n.1947",10526/10531/44646/44676/10528/44667/10532
"desmodium subsecundumhoehne, w.spf132111947",10525/44645
"desmodium subsecundumhoehne, w.spf132121942",10542/44719
"desmodium subsecundumhoehne, w.spf838941947",10537/44647
"desmodium subsecundumhoehne, w.19901947",10529/44694
"desmodium subsecundumhoehne, w.13211na",10572/44656/10576/44698
desmodium subsecundumiri11941965,10494/44724
"desmodium subsecundumbaitello, j.b.; aguiar, o.t.s.n.1979",10471/44730
"desmodium subsecundumzamith, j.r.s.s.n.1937",10554/44709
"desmodium subsecundumjoly, a.b.4221947",10535/44684
"desmodium subsecundumberaldo, k.; frança, v.g.742014",10401
"desmodium subsecundummizoguchi, k.10221979",10472/44658
"desmodium subsecundummizoguchi, k.18611983",10463/44659
"desmodium subsecundumkiyama, c.y.; magenta, m.a.g.; proença, s.l.; simão bianchini, r.; wanderley, m.g.l.921995",10428/44743
"desmodium subsecundumkuhlmann, m.2931943",10539/44762
"desmodium subsecundumsmith, l.b.63261952",10511/44671/10509/44613
"desmodium subsecundumcustodio, l.; custodio filho, a.9881999",10414/44732
"desmodium subsecundumlombardi, j.a.73262008",10409/44665
"desmodium subsecundumcunha, m.a.s.n.1952",10508/44733
"desmodium subsecundummarcondes-ferreira, w.; modolo, m.; lima, r.f.; leitão filho, h.f.; stipecke, r.163511984",10462/44639
"desmodium subsecundummayo, s.j.s.n.1981",10468/44681
"desmodium subsecundummayo, s.j.; pirani, j.r.; cordeiro, i.; amaral, m.c.e.s.n.1981",10467/44641/44640
"desmodium subsecundummiyagi, p.h.511994",10435/44611/10432/44630
"desmodium subsecundumarmond, n.18101895",10569/44767
"desmodium subsecundumpickel, b.55791940",10547/44615
"desmodium subsecundumpickel, b.95221942",10541/44616
"desmodium subsecundumpietrobom-silva, m.r.; andrade, r.m.c.961na",10579/44662
"desmodium subsecundumpucci, b.; garcia, r.j.f.; pereira, f.g.; delboni, v.s.2382011",10404/44700
"desmodium subsecundumqueiroz, l.p.23061989",10455/44693
"desmodium subsecundumramos, i.1051941",10546/44753
"desmodium subsecundumrossi, l.24032013",10403/44735
"desmodium subsecundumrussel, a.2951998",10416/44761
"desmodium subsecundummachado, s.1851960",10504/44670
"desmodium subsecundumcampos, s.m.185na",10575/44699
"desmodium subsecundumscaramuzza, c.a.m.; souza, v.c.2351989",10456/44602
"desmodium subsecundumscaramuzza, c.a.m.; souza, v.c.6251991",10452/44609
"desmodium subsecundumscaramuzza, c.a.m.r.; souza, v.c.6251991",10451/44637
"desmodium subsecundumscudeler, a.l.; cabral, l.m.1282014",10400/44726
"desmodium subsecundumsemir, j.; gibbs, p.e.; kinoshita, l.s.1321976",10476/44624
"desmodium subsecundumsilva, m.r.9611993",10449/44677
"desmodium subsecundumsouza, v.c.341682011",10406/44607/10405
"desmodium subsecundumsouza, v.c.25071993",10448/44608
"desmodium subsecundumsouza, v.c.; flores, t.b.; coelho, r.l.g.; colletta, g.d.esa1381232016",10397/44654
"desmodium subsecundumsouza, v.c.; sakuragui, c.m.; scaramuzza, c.a.m.r.; fina, b.g.; rolim, g.s.; shimabukuro, m.t.25071993",10447/44627
"desmodium subsecundumcustodio, t.i.; custodio filho, a.2651994",10431/44728
"desmodium subsecundumtorres, r.b.; bernacci, l.c.; falivene, s.m.p.; camargo, o.1471994",10445/44755
"desmodium subsecundumtorres, r.b.; bernacci, l.c.; falivene, s.m.p.; camargo, o.147-a1994",10446/44648
"desmodium subsecundumusteri, a.s.n.1906",10568/44752
"desmodium subsecundumsouza, v.c.; flores, t.b.; coelho, r.l.g.; colletta, g.d.400702016",10398
"desmodium subsecundumsouza, v.c.400702016",10399/44674
"desmodium subsecundumhoehne, w.spf12681na",10574/44672
"desmodium subsecundumhoehne, w.spf13212na",10573/44669
"dipteryx alataperes, f.s.; pastore, j.a.32003",8723/43251
"dipteryx alataguimarães, j.g.14741982",8744/8745
"dipteryx alatapereira, a.s.n.1934",8746/8747/43254/43255
"dipteryx alataperes, f.s.32003",8724/43238/8725/43224
"inga bullataloefgren, a.cgg42171898",10174/44381
"inga lanceifoliaandrade-lima, d.6137191961",10197
"inga lanceifoliadias, a.c.851986",10196/44402
"inga lanceifoliamarchiori, n.m.; toledo, w.; munhoz, i.; cano, g.b.; santos, f.c.2882011",10177/44390
"inga lanceifoliamarchiori, n.m.; toledo, w.; munhoz, i.; cano, g.b.; santos, f.c.4192011",10178/44389
"inga lanceifoliapadgurschi, m.c.g.; belinello, r.m3732009",10179/44387
"inga lanceifoliapereira, l.s.; belinello, r.; gomes, j.a.m.a.n9132007",10189/44386
"inga lanceifoliapilla, m.a.c.1082005",10191/44383
"inga lanceifoliasilva, e.d.11722008",10185/44403/10182/44385
"inga lanceifoliasilva, e.d.s.n.2008",10183/10184/44404/44405
"inga lanceifoliasilva, e.d.11712008",10181/44396
"inga lenticellatadias, a.c.851986",10207/44429
"inga lenticellatahoehne, f.c.296721932",10219/10220/10221/10222/44423/44424
"inga lenticellatahoehne, f.c.s.n.1932",10214/44407/10215/10217/10218/10223/44417/44426/44433
"inga lenticellatahoehne, f.c.s.n.na",10226/44419
"inga lenticellatahoehne, f.c.2461932",10216/44427
"inga lenticellatahoehne, f.c.29672na",44422
"inga lenticellatalima, r.a.f.391na",10230/44412
"inga lenticellatamoraes, p.l.r.2091990",10203/44431
"inga lenticellatasouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29282na",10228/44411
"inga lenticellatasouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30099na",10229/44410
"inga lentiscifoliamizoguchi, k.4221978",9437/43932
"inga maritimaandrade-lima, d.61-36991961",10232/44434
"inga praegnansdias, a.c.331985",10243/44445
"inga praegnanshoehne, f.c.293581932",10245/44443
"inga praegnanshoehne, f.c.s.n.na",10246/44450
"inga praegnanslima, r.a.f.393na",10249/44437
"inga praegnanspilla, m.a.c.1102005",10233/44435
"inga praegnanssouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29281na",10248/44438
"inga praegnanssouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30101na",10247/44436
"inga sellowianasavassi, a.p.2372002",10265/44504
"inga sellowianabarbiellini, a.a.s.n.1953",10307/44523
"inga sellowianabartolomeu, j.g.s.n.1953",10308/44486
"inga sellowianasilva, c.a.f.s.n.1990",10283/44508
"inga sellowianaarzolla, f.a.r.d.p.; souza, f.m.; araújo, c.o.; corrêa, w.8122005",10260/44503
"inga sellowianahoehne, f.c.284521931",10323/10324/44453/44454
"inga sellowianafosberg, f.r.459881964",10302/44482
"inga sellowianafigueiredo, n.; rocha, d.m.s.156021983",10290/44473
"inga sellowianaárbocz, g.f.3401994",10280/44495
"inga sellowianagarcia, r.j.f.15831998",10276/44493
"inga sellowianagomes, s.m.; antunes, r.m.; gomes, p.b.; nakakura, h.c.c.; melo, m.s.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; franco, g.c.; forster, w.; ivanauskas, n.m.4192002",10269/44460
"inga sellowianagomes, s.m.; souza, v.c.; rodrigues, r.r.; nakakura, h.c.c.; antunes, r.m.; gomes, p.b.; melo, m.s.4192002",10266/44466
"inga sellowianahoehne, w.155411955",10306
"inga sellowianahoehne, w.s.n.1955",44455/10305/44474
"inga sellowianahoehne, f.c.s.n.1932",10319/10320/10321/10322/44526/44527/44528/44529
"inga sellowianahoehne, w.s.n.1941",10317/10318/44488/44522
"inga sellowianahoehne, w.s.n.1951",10309/44487
"inga sellowianahoehne, w.s.n.na",10329/10328/44477/44478
"inga sellowianapastore, j.a.; arzolla, f.a.r.d.p.; vilela, f.e.s.p.15402007",10256/44505
"inga sellowianasilva, j.s.101972",10297/44497/10300/44452/10301/44530
"inga sellowianasilva, j.101972",10299/44483
"inga sellowianamizoguchi, k.4221978",10296/44481
"inga sellowianakondrat, h.1922013",10252/44514
"inga sellowianakuhlmann, m.32421946",10314/10316/44489/44525/10315/44451
"inga sellowianakuhlmann, m.3242-a1947",10312/10313/44490/44524/10311/44510
"inga sellowianakuhlmann, m.s.n.1958",10303/10304/44485/44520
"inga sellowianabernacci, l.c.; franco, g.a.d.c.; durigan, g.; siqueira, m.; furlan, e.35142000",10272/44496
"inga sellowianaloefgren, a.cgg16641891",10326/44521
"inga sellowianalund, p.w.s.n.na",44511
"inga sellowianacastellani, m.r.12na",10331/44494
"inga sellowianafigueiredo, n.; rocha, d.s.s.n.1983",10291/44465
"inga sellowianapetri, l.; biasoli, s.m.9842016",10250/44531
"inga sellowianapolisel, r.t.; ivanauskas, n.m.; souza, f.m.; santos, v.s.2442005",10264/44506
"inga sellowianarizzini, c.t.4711949",10310/44513
"inga sellowianarossi, l.s.n.1984",10288/44492
"inga sellowianasilva, i.s.n.1985",10287/44499
"inga sellowianasilva, i.s.n.1984",10289/44459
"inga sellowianasilva, j.m.10na",10327/44476
"inga sellowianasilva, l.l.s.n.2005",10261/10262/10263/44461/44463/44464
"inga sellowianasouza-silva, j.101972",10298/44491
"inga sellowianastefani, e.j.f.; belinello, r.; galvão, j.c.2462011",10253/44468
machaerium villosum?s.n.na,8999/43307
"machaerium villosumantar, g.m.9372016",8755/43501/8754/43425/8752/8753/43416
"machaerium villosumaragaki, s.; kirizawa, m.; fortes, e.p.12742013",8763/43533/8762/43518
"machaerium villosumarzolla, f.a.r.d.p.4922004",8797/43443/8796/43507
"machaerium villosumheiner, a.s.n.na",9033
"machaerium villosumbraga, b.s.n.1968",8929/43457/8925/8928/43511/43524
"machaerium villosumpickel, b.49121942",8958/43349/8957/43304
"machaerium villosumbraga, b.s.n.1969",8923/43510
"machaerium villosumcosta, b.s.n.1951",8947/43505
"machaerium villosumpickel, b.11931943",8956/43446
"machaerium villosumbernacci, l.c.4851994",8850/43323
"machaerium villosumbraga, b.11968",43272
"machaerium villosumbufo, l.v.b.571997",8831/43437
"machaerium villosumbufo, l.v.b.601997",8832/43442
"machaerium villosumbufo, l.v.b.60na",9028/43287/9030/43489
"machaerium villosumbufo, l.v.b.; sabadim, p.c.59na",9027/43295/9031/43488
"machaerium villosumbufo, l.v.b.; sabadim, p.c.60na",9029/43286
"machaerium villosumcardoso-leite, e.4081998",8826/43311
"machaerium villosumcardoso-leite, e.3021993",8880/43297
"machaerium villosumcardoso-leite, e.; oliveira, a.3021993",8878/43320
"machaerium villosumcasali, m.f.; cardoso-leite, e.; koch, i.; kortz, a.r.; pereira, g.h.s.; santos, p.c.f.422007",8792/43499
"machaerium villosumcaselli, c.b.s.n.na",9005/43316
"machaerium villosumceccantini, g.c.t.4781994",8868/43352/8866/43434
"machaerium villosumceccantini, g.c.t.2158na",9010/43466/9021/43424
"machaerium villosumceccantini, g.c.t.2165na",9009/43460/9020/43423
"machaerium villosumceccantini, g.c.t.s.m.5311995",8844/43459
"machaerium villosumceccantini, g.c.t.s.; magenta, m.a.g.8261998",8827/43471
"machaerium villosumceccantini, g.c.t.s.4091994",8861/43470
"machaerium villosumceccantini, g.c.t.s.4761994",8864/43461
"machaerium villosumceccantini, g.c.t.s.4781994",8862/43472
"machaerium villosumceccantini, g.c.t.s.p.4771994",8863/43469
"machaerium villosumceccantini, g.c.t.4091994",8856/43432
"machaerium villosumceccantini, g.c.t.4761994",8867/43435
"machaerium villosumceccantini, g.c.t.4771994",8865/43433
"machaerium villosumchevalier, a.j.b.s.n.1928",8977/8978/8980/43395/43396/43397
"machaerium villosumsantos junior, d.s.n.na",43478
"machaerium villosumpickel, b.s.n.1945",8950/8951/43525
"machaerium villosumpickel, d.b.s.n.1945",43514
"machaerium villosumdislich, r.701994",8848/43419
"machaerium villosumhoehne, f.c.73631922",8984/43412
"machaerium villosumhoehne, f.c.285471931",8971/43414
"machaerium villosumhoehne, f.c.s.n.1931",8972/43258/8973/8974/43555/43556
"machaerium villosumhoehne, f.c.s.n.na",9023/43259/8998
"machaerium villosumsouza, f.m.; sousa, r.c.; santos, m.f.; ribeiro, s.j.6942007",8788/43516/8789/43347
"machaerium villosumferreira, g.m.p.; martin, r.3032005",8794/43351
"machaerium villosumgaudichaud-beaupré, c.s.n.1833",8994/43392
"machaerium villosumglaziou, a.f.m.s.n.1881",8992/8993
"machaerium villosumglaziou, a.s.n.1881",43393/43394
"machaerium villosumguillaumon, j.r.s.n.2001",8812/43312
"machaerium villosumhambleton, e.j.5-a1935",8964/43554
"machaerium villosummosén, c.w.h.12161974",8919
"machaerium villosummosén, c.w.h.12171974",8921/8922
"machaerium villosummosén, c.w.h.12181974",8920
"machaerium villosumhoehne, f.c.1651931",8970
"machaerium villosumhoehne, w.140401951",8945
"machaerium villosumhoehne, w.s.n.1951",43275/8935/8940/8934/8936/8943/43348/43399/43420/43421/43558/8941/43257
"machaerium villosumhoehne, f.c.s.n.1922",8983/43390/8985/8986/43552/43553
"machaerium villosumhoehne, f.c.1041932",8969/43431
"machaerium villosumhoehne, f.c.s.n.1926",8982/43538
"machaerium villosumhoehne, f.c.s.n.1933",8968/43536
"machaerium villosumhoehne, w.spf140401951",8939/43490
"machaerium villosumhonda, s.842007",8787/43438
"machaerium villosumvinicius, j.s.n.1956",8932/43447
"machaerium villosumvinicius, j.cesj282131956",8931/43308
"machaerium villosumtamashiro, j.y.4641994",8853/43521/8855/43426/8854/43341
"machaerium villosumlima, j.s.n.1945",8952
"machaerium villosumsimões, j.a181931",8975
"machaerium villosumsantos, k.341996",8841
"machaerium villosumkondrat, h.1732013",8766/43532
"machaerium villosumkortz, a.r.; koch, i.; casali, m.f.; pereira, g.h.s.2612008",8784/43497
"machaerium villosumkortz, a.r.; koch, i.; sant'anna, g.h.p.2562008",8783/43496
"machaerium villosumkortz, a.r.; koch, i.3952009",8773/43491
"machaerium villosumkoscinski, m.1939na",9000/43303
"machaerium villosumkoscinski, m.95461930",8976/43302
"machaerium villosumkoscinski, m.16-a1933",8967/43560
"machaerium villosumkuhlmann, m.; kühn, e.32551946",8949/43541
"machaerium villosumkuhlmann, m.32551946",43458
"machaerium villosumbernacci, l.c.; franco, g.a.d.c.; durigan, g.; árbocz, g.f.; siqueira, m.; silveira, e.r.; furlan, e.34582000",8821/43451
"machaerium villosumbufo, l.v.b.; sabadim, p.c.591997",8833
"machaerium villosumlima, h.c.54na",9017/43382
"machaerium villosumlombardi, j.a.67652007",8791/43406
"machaerium villosumkeiller, m.; ottra, j.h.l.e.442019",43273
"machaerium villosumkoscinski, m.16na",9006/43456/9001/43523
"machaerium villosumcunha, m.a.s.n.1951",8946/43506
"machaerium villosumcunha, m.a.s.n.1952",8933/43504
"machaerium villosumkoscinski, m.21938",8960/43509
